keys,text_length,word_count
61320196011,104733,16179
61620196011,69857,10690
61320196411,32946,5269
61620196411,57608,8739
61320196811,107881,16965
61620196811,66688,10069
61320197211,165890,25694
61620197211,156434,24497
61320197611,139585,21303
61620197611,132209,20508
61320198011,250128,38370
61620198011,225417,34624
61320198411,280974,44056
61620198411,179817,27409
61320198811,31431,4859
61620198811,232544,35815
61320199211,54845,8597
61620199211,183804,28647
61320199611,100932,16231
61620199611,177839,27775
61320200011,150167,24267
61620200011,225012,34793
61320200411,111150,17801
61620200411,267806,41381
61320200811,164626,25965
61620200811,149989,23146
61320201211,160726,25043
61620201211,203194,30530
61320201611,169482,25983
61620201611,230836,35599
61320202011,287886,42726
61620202011,230836,35599
